RunID,H,W,KH,KW,outH,outW,op,mode,padding,cval,sH,sW,time,gflops
SLURM_48419,1024,4096,3,11,1024,4096,conv,same,zero,0,1,1,0.064577004,4.286728
SLURM_48420,1024,4096,5,3,1024,4096,conv,same,zero,0,1,1,0.037168823,3.38534
SLURM_48421,1024,4096,5,5,1024,4096,conv,same,zero,0,1,1,0.056360527,3.720959
SLURM_48422,1024,4096,5,7,1024,4096,conv,same,zero,0,1,1,0.071358116,4.114476
SLURM_48423,1024,4096,5,9,1024,4096,conv,same,zero,0,1,1,0.100080012,3.771856
SLURM_48424,1024,4096,5,11,1024,4096,conv,same,zero,0,1,1,0.121780933,3.788552
SLURM_48425,1024,4096,7,3,1024,4096,conv,same,zero,0,1,1,0.049897235,3.530472
SLURM_48426,1024,4096,7,5,1024,4096,conv,same,zero,0,1,1,0.082590184,3.554917
SLURM_48427,1024,4096,7,7,1024,4096,conv,same,zero,0,1,1,0.112112452,3.666335
SLURM_48428,1024,4096,7,9,1024,4096,conv,same,zero,0,1,1,0.13873857,3.809195
SLURM_48429,1024,4096,7,11,1024,4096,conv,same,zero,0,1,1,0.170895616,3.779634
SLURM_48430,1024,4096,9,3,1024,4096,conv,same,zero,0,1,1,0.073407153,3.085427
SLURM_48431,1024,4096,9,5,1024,4096,conv,same,zero,0,1,1,0.115130132,3.278789
SLURM_48432,1024,4096,9,7,1024,4096,conv,same,zero,0,1,1,0.153330817,3.44668
SLURM_48433,1024,4096,9,9,1024,4096,conv,same,zero,0,1,1,0.19345394,3.512346
SLURM_48434,1024,4096,9,11,1024,4096,conv,same,zero,0,1,1,0.246898348,3.36362
SLURM_48435,1024,4096,11,3,1024,4096,conv,same,zero,0,1,1,0.102357609,2.70448
SLURM_48436,1024,4096,11,5,1024,4096,conv,same,zero,0,1,1,0.139974854,3.296117
SLURM_48437,1024,4096,11,7,1024,4096,conv,same,zero,0,1,1,0.183783979,3.514576
SLURM_48438,1024,4096,11,9,1024,4096,conv,same,zero,0,1,1,0.238992811,3.474884
SLURM_48439,1024,4096,11,11,1024,4096,conv,same,zero,0,1,1,0.30811574,3.294287
SLURM_48440,2048,1024,3,3,2048,1024,conv,same,zero,0,1,1,0.013306924,2.836774
SLURM_48441,2048,1024,3,5,2048,1024,conv,same,zero,0,1,1,0.019099863,3.29398
SLURM_48442,2048,1024,3,7,2048,1024,conv,same,zero,0,1,1,0.022929716,3.84132
SLURM_48443,2048,1024,3,9,2048,1024,conv,same,zero,0,1,1,0.0270964,4.179382
SLURM_48444,2048,1024,3,11,2048,1024,conv,same,zero,0,1,1,0.032567233,4.25004
SLURM_48445,2048,1024,5,3,2048,1024,conv,same,zero,0,1,1,0.018745628,3.356226
SLURM_48446,2048,1024,5,5,2048,1024,conv,same,zero,0,1,1,0.028505574,3.678495
SLURM_48447,2048,1024,5,7,2048,1024,conv,same,zero,0,1,1,0.036681711,4.002012
SLURM_48448,2048,1024,5,9,2048,1024,conv,same,zero,0,1,1,0.050427807,3.742849
SLURM_48449,2048,1024,5,11,2048,1024,conv,same,zero,0,1,1,0.061144072,3.772839
SLURM_48450,2048,1024,7,3,2048,1024,conv,same,zero,0,1,1,0.025506325,3.453276
SLURM_48451,2048,1024,7,5,2048,1024,conv,same,zero,0,1,1,0.041578427,3.530692
SLURM_48452,2048,1024,7,7,2048,1024,conv,same,zero,0,1,1,0.056252676,3.653531
SLURM_48453,2048,1024,7,9,2048,1024,conv,same,zero,0,1,1,0.070092552,3.769889
SLURM_48454,2048,1024,7,11,2048,1024,conv,same,zero,0,1,1,0.086044055,3.753442
SLURM_48455,2048,1024,9,3,2048,1024,conv,same,zero,0,1,1,0.0392453,2.885599
SLURM_48456,2048,1024,9,5,2048,1024,conv,same,zero,0,1,1,0.060995532,3.094385
SLURM_48457,2048,1024,9,7,2048,1024,conv,same,zero,0,1,1,0.07854147,3.364352
SLURM_48458,2048,1024,9,9,2048,1024,conv,same,zero,0,1,1,0.098574396,3.44652
SLURM_48459,2048,1024,9,11,2048,1024,conv,same,zero,0,1,1,0.123202528,3.370354
SLURM_48460,2048,1024,11,3,2048,1024,conv,same,zero,0,1,1,0.054555751,2.537075
SLURM_48461,2048,1024,11,5,2048,1024,conv,same,zero,0,1,1,0.073649924,3.132206
SLURM_48462,2048,1024,11,7,2048,1024,conv,same,zero,0,1,1,0.092745397,3.482237
SLURM_48463,2048,1024,11,9,2048,1024,conv,same,zero,0,1,1,0.119859096,3.464369
SLURM_48464,2048,1024,11,11,2048,1024,conv,same,zero,0,1,1,0.15419917,3.291268
SLURM_48465,2048,2048,3,3,2048,2048,conv,same,zero,0,1,1,0.025787885,2.927633
SLURM_48466,2048,2048,3,5,2048,2048,conv,same,zero,0,1,1,0.034832796,3.612375
SLURM_48467,2048,2048,3,7,2048,2048,conv,same,zero,0,1,1,0.04238211,4.156489
SLURM_48468,2048,2048,3,9,2048,2048,conv,same,zero,0,1,1,0.052305023,4.330223
SLURM_48469,2048,2048,3,11,2048,2048,conv,same,zero,0,1,1,0.064657195,4.281412
SLURM_48470,2048,2048,5,3,2048,2048,conv,same,zero,0,1,1,0.036883113,3.411565
SLURM_48471,2048,2048,5,5,2048,2048,conv,same,zero,0,1,1,0.056213956,3.730661
SLURM_48472,2048,2048,5,7,2048,2048,conv,same,zero,0,1,1,0.071370946,4.113737
SLURM_48473,2048,2048,5,9,2048,2048,conv,same,zero,0,1,1,0.100206332,3.767101
SLURM_48474,2048,2048,5,11,2048,2048,conv,same,zero,0,1,1,0.121733313,3.790034
SLURM_48475,2048,2048,7,3,2048,2048,conv,same,zero,0,1,1,0.050208086,3.508613
SLURM_48476,2048,2048,7,5,2048,2048,conv,same,zero,0,1,1,0.082377023,3.564116
SLURM_48477,2048,2048,7,7,2048,2048,conv,same,zero,0,1,1,0.112105082,3.666576
SLURM_48478,2048,2048,7,9,2048,2048,conv,same,zero,0,1,1,0.138605409,3.812855
SLURM_48479,2048,2048,7,11,2048,2048,conv,same,zero,0,1,1,0.171791989,3.759912
SLURM_48480,2048,2048,9,3,2048,2048,conv,same,zero,0,1,1,0.072775001,3.112228
SLURM_48481,2048,2048,9,5,2048,2048,conv,same,zero,0,1,1,0.11475294,3.289566
SLURM_48482,2048,2048,9,7,2048,2048,conv,same,zero,0,1,1,0.153350268,3.446243
SLURM_48483,2048,2048,9,9,2048,2048,conv,same,zero,0,1,1,0.194839755,3.487365
SLURM_48484,2048,2048,9,11,2048,2048,conv,same,zero,0,1,1,0.246315956,3.371573
SLURM_48485,2048,2048,11,3,2048,2048,conv,same,zero,0,1,1,0.102028448,2.713205
SLURM_48486,2048,2048,11,5,2048,2048,conv,same,zero,0,1,1,0.139072191,3.31751
SLURM_48487,2048,2048,11,7,2048,2048,conv,same,zero,0,1,1,0.183763649,3.514965
SLURM_48488,2048,2048,11,9,2048,2048,conv,same,zero,0,1,1,0.238946221,3.475561
SLURM_48489,2048,2048,11,11,2048,2048,conv,same,zero,0,1,1,0.307974179,3.295801
SLURM_48490,2048,3072,3,3,2048,3072,conv,same,zero,0,1,1,0.038169966,2.966893
SLURM_48491,2048,3072,3,5,2048,3072,conv,same,zero,0,1,1,0.051737511,3.648101
SLURM_48492,2048,3072,3,7,2048,3072,conv,same,zero,0,1,1,0.063567901,4.156833
SLURM_48493,2048,3072,3,9,2048,3072,conv,same,zero,0,1,1,0.07847579,4.329216
SLURM_48494,2048,3072,3,11,2048,3072,conv,same,zero,0,1,1,0.096848321,4.287489
SLURM_48495,2048,3072,5,3,2048,3072,conv,same,zero,0,1,1,0.055072082,3.427212
SLURM_48496,2048,3072,5,5,2048,3072,conv,same,zero,0,1,1,0.083782197,3.75465
SLURM_48497,2048,3072,5,7,2048,3072,conv,same,zero,0,1,1,0.106488143,4.13569
SLURM_48498,2048,3072,5,9,2048,3072,conv,same,zero,0,1,1,0.150105617,3.772218
SLURM_48499,2048,3072,5,11,2048,3072,conv,same,zero,0,1,1,0.182371024,3.794792
SLURM_48500,2048,3072,7,3,2048,3072,conv,same,zero,0,1,1,0.074719318,3.53645
SLURM_48501,2048,3072,7,5,2048,3072,conv,same,zero,0,1,1,0.123169198,3.575585
SLURM_48502,2048,3072,7,7,2048,3072,conv,same,zero,0,1,1,0.167712116,3.676316
SLURM_48503,2048,3072,7,9,2048,3072,conv,same,zero,0,1,1,0.207592387,3.818654
SLURM_48504,2048,3072,7,11,2048,3072,conv,same,zero,0,1,1,0.256509729,3.777183
SLURM_48505,2048,3072,9,3,2048,3072,conv,same,zero,0,1,1,0.109105931,3.113842
SLURM_48506,2048,3072,9,5,2048,3072,conv,same,zero,0,1,1,0.172453191,3.28339
SLURM_48507,2048,3072,9,7,2048,3072,conv,same,zero,0,1,1,0.229804401,3.449557
SLURM_48508,2048,3072,9,9,2048,3072,conv,same,zero,0,1,1,0.28990846,3.515647
SLURM_48509,2048,3072,9,11,2048,3072,conv,same,zero,0,1,1,0.370423477,3.36293
SLURM_48510,2048,3072,11,3,2048,3072,conv,same,zero,0,1,1,0.154967983,2.679496
SLURM_48511,2048,3072,11,5,2048,3072,conv,same,zero,0,1,1,0.209216622,3.307864
SLURM_48512,2048,3072,11,7,2048,3072,conv,same,zero,0,1,1,0.275460492,3.517326
SLURM_48513,2048,3072,11,9,2048,3072,conv,same,zero,0,1,1,0.358193526,3.477752
SLURM_48514,2048,3072,11,11,2048,3072,conv,same,zero,0,1,1,0.462567892,3.291479
SLURM_48515,2048,4096,3,3,2048,4096,conv,same,zero,0,1,1,0.05149868,2.932016
SLURM_48516,2048,4096,3,5,2048,4096,conv,same,zero,0,1,1,0.06949457,3.621265
